observation --- [381, 428, 373, 633, 293, 868] info --- {'sequence': ['N1', 'N492', 'N538', 'E198', 'E9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.134070376330827 loss --- 534.0890502929688 logZ --- 1.0826870203018188
observation --- [228, 714, 789, 624, 633, 868] info --- {'sequence': ['N200', 'N697', 'N549', 'E199', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.170478966576698 loss --- 518.342041015625 logZ --- 1.0826870203018188
observation --- [128, 57, 231, 161, 561, 868] info --- {'sequence': ['N317', 'N34', 'N211', 'E85', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.280840873718262 logZ --- 1.0875763893127441
observation --- [144, 659, 736, 667, 815, 868] info --- {'sequence': ['N257', 'N313', 'N631', 'E134', 'E156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.952173233032227 logZ --- 1.0875763893127441
observation --- [767, 406, 574, 632, 613, 868] info --- {'sequence': ['N259', 'N367', 'N127', 'E143', 'E115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.262980890144887 loss --- 562.1304321289062 logZ --- 1.0875763893127441
observation --- [390, 761, 352, 227, 846, 868] info --- {'sequence': ['N330', 'N327', 'N534', 'E175', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.173106670379639 logZ --- 1.0875763893127441
observation --- [105, 841, 381, 529, 23, 868] info --- {'sequence': ['N417', 'N73', 'N1', 'E129', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0856715231718856 loss --- 568.6016235351562 logZ --- 1.0875763893127441
observation --- [145, 454, 172, 201, 583, 868] info --- {'sequence': ['N263', 'N520', 'N409', 'E19', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.243825912475586 logZ --- 1.0923880338668823
observation --- [830, 44, 30, 618, 484, 868] info --- {'sequence': ['N282', 'N719', 'N29', 'E118', 'E109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.931822299957275 logZ --- 1.0923880338668823
observation --- [848, 756, 757, 227, 796, 868] info --- {'sequence': ['N581', 'N627', 'N464', 'E175', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0888117991018598 loss --- 550.39501953125 logZ --- 1.0923880338668823
observation --- [128, 766, 729, 783, 663, 868] info --- {'sequence': ['N317', 'N310', 'N12', 'E146', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.125426579378034 loss --- 539.4598388671875 logZ --- 1.0923880338668823
observation --- [231, 272, 290, 774, 262, 868] info --- {'sequence': ['N211', 'N393', 'N512', 'E161', 'E228', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0499218136241546 loss --- 528.7855224609375 logZ --- 1.0923880338668823
observation --- [202, 226, 697, 599, 522, 868] info --- {'sequence': ['N376', 'N267', 'N623', 'E174', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.93444538116455 logZ --- 1.0972284078598022
observation --- [733, 710, 455, 496, 805, 868] info --- {'sequence': ['N445', 'N404', 'N564', 'E65', 'E150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.813283920288086 logZ --- 1.0972284078598022
observation --- [712, 90, 261, 227, 680, 868] info --- {'sequence': ['N665', 'N450', 'N618', 'E175', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0964803929975273 loss --- 536.5897827148438 logZ --- 1.0972284078598022
observation --- [574, 88, 642, 319, 561, 868] info --- {'sequence': ['N127', 'N168', 'N27', 'E44', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0643086666579087 loss --- 536.28759765625 logZ --- 1.0972284078598022
observation --- [754, 761, 141, 680, 671, 868] info --- {'sequence': ['N194', 'N327', 'N13', 'E104', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.806010246276855 logZ --- 1.0972284078598022
observation --- [326, 90, 381, 17, 443, 868] info --- {'sequence': ['N710', 'N450', 'N1', 'E219', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2586413201481021 loss --- 527.0022583007812 logZ --- 1.10200035572052
