observation --- [729, 818, 626, 867] info --- {'sequence': ['N12', 'N335', 'N216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.7884521484375 logZ --- 0.9349237680435181
observation --- [81, 535, 482, 867] info --- {'sequence': ['N276', 'N136', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.55388641357422 logZ --- 0.9313555955886841
observation --- [509, 574, 424, 867] info --- {'sequence': ['N202', 'N127', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.99465560913086 logZ --- 0.9313555955886841
observation --- [818, 139, 357, 867] info --- {'sequence': ['N335', 'N44', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.67481994628906 logZ --- 0.9313555955886841
observation --- [15, 308, 737, 867] info --- {'sequence': ['N207', 'N193', 'N333', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.9249382019043 logZ --- 0.9313555955886841
observation --- [172, 261, 681, 867] info --- {'sequence': ['N409', 'N618', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.85982131958008 logZ --- 0.9313555955886841
observation --- [15, 289, 356, 867] info --- {'sequence': ['N207', 'N580', 'N48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.095767974853516 logZ --- 0.9274519085884094
observation --- [145, 375, 316, 867] info --- {'sequence': ['N263', 'N288', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.747100830078125 logZ --- 0.9274519085884094
observation --- [144, 306, 778, 867] info --- {'sequence': ['N257', 'N614', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.48405456542969 logZ --- 0.9274519085884094
observation --- [835, 711, 657, 867] info --- {'sequence': ['N689', 'N522', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.6385383605957 logZ --- 0.9274519085884094
