observation --- [552, 527, 326, 350, 867] info --- {'sequence': ['N305', 'N471', 'N710', 'N705', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.107077598571777 logZ --- 0.9483615159988403
observation --- [288, 105, 601, 754, 867] info --- {'sequence': ['N700', 'N417', 'N128', 'N194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.519420623779297 logZ --- 0.9483615159988403
observation --- [834, 729, 566, 171, 867] info --- {'sequence': ['N371', 'N12', 'N17', 'N100', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.795146942138672 logZ --- 0.9483615159988403
observation --- [113, 574, 690, 644, 867] info --- {'sequence': ['N515', 'N127', 'N62', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.831110000610352 logZ --- 0.9483615159988403
observation --- [666, 574, 141, 642, 867] info --- {'sequence': ['N466', 'N127', 'N13', 'N27', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.922701835632324 logZ --- 0.9483615159988403
observation --- [91, 314, 455, 306, 867] info --- {'sequence': ['N307', 'N365', 'N564', 'N614', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.726218223571777 logZ --- 0.9443985819816589
observation --- [810, 733, 712, 171, 867] info --- {'sequence': ['N109', 'N445', 'N665', 'N100', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 15.612709045410156 logZ --- 0.9443985819816589
observation --- [34, 705, 734, 172, 867] info --- {'sequence': ['N57', 'N539', 'N448', 'N409', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.9142484664917 logZ --- 0.9443985819816589
observation --- [464, 712, 665, 515, 867] info --- {'sequence': ['N662', 'N665', 'N342', 'N71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.242445689379984 loss --- 277.0736389160156 logZ --- 0.9443985819816589
observation --- [558, 690, 139, 732, 867] info --- {'sequence': ['N3', 'N62', 'N44', 'N390', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.33519172668457 logZ --- 0.9443985819816589
observation --- [28, 760, 171, 376, 867] info --- {'sequence': ['N39', 'N513', 'N100', 'N201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.849737167358398 logZ --- 0.9409617781639099
observation --- [756, 31, 712, 131, 867] info --- {'sequence': ['N627', 'N616', 'N665', 'N413', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.684435844421387 logZ --- 0.9409617781639099
observation --- [134, 97, 734, 736, 867] info --- {'sequence': ['N693', 'N112', 'N448', 'N631', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.842307090759277 logZ --- 0.9409617781639099
observation --- [666, 373, 171, 151, 867] info --- {'sequence': ['N466', 'N538', 'N100', 'N575', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 6.7172627449035645 logZ --- 0.9409617781639099
observation --- [54, 332, 172, 306, 867] info --- {'sequence': ['N93', 'N399', 'N409', 'N614', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.383638381958008 logZ --- 0.9409617781639099
