observation --- [830, 594, 54, 867] info --- {'sequence': ['N282', 'N84', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.0069465637207 logZ --- 0.9199215769767761
observation --- [308, 722, 54, 867] info --- {'sequence': ['N193', 'N430', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.1302490234375 logZ --- 0.914925217628479
observation --- [230, 53, 288, 867] info --- {'sequence': ['N654', 'N617', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.12432861328125 logZ --- 0.914925217628479
observation --- [146, 542, 718, 867] info --- {'sequence': ['N503', 'N587', 'N388', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.90451049804688 logZ --- 0.914925217628479
observation --- [324, 648, 461, 867] info --- {'sequence': ['N42', 'N111', 'N359', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.278385162353516 logZ --- 0.914925217628479
observation --- [601, 441, 226, 867] info --- {'sequence': ['N128', 'N530', 'N267', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.106719970703125 logZ --- 0.914925217628479
observation --- [248, 772, 129, 867] info --- {'sequence': ['N174', 'N26', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.790252685546875 logZ --- 0.9099219441413879
observation --- [314, 198, 57, 867] info --- {'sequence': ['N365', 'N199', 'N34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.63941955566406 logZ --- 0.9099219441413879
observation --- [82, 749, 159, 867] info --- {'sequence': ['N718', 'N241', 'N461', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.51043701171875 logZ --- 0.9099219441413879
observation --- [767, 162, 841, 867] info --- {'sequence': ['N259', 'N70', 'N73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.40376281738281 logZ --- 0.9099219441413879
