observation --- [55, 807, 658, 564, 584, 208, 868] info --- {'sequence': ['N81', 'N99', 'N671', 'E204', 'E182', 'E158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.04288101196289 logZ --- 1.0491749048233032
observation --- [169, 159, 268, 262, 126, 725, 868] info --- {'sequence': ['N279', 'N461', 'N391', 'E228', 'E112', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 42.45220184326172 logZ --- 1.0541131496429443
observation --- [200, 395, 551, 606, 583, 305, 868] info --- {'sequence': ['N621', 'N708', 'N133', 'E110', 'E103', 'E7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 34.380950927734375 logZ --- 1.0541131496429443
observation --- [512, 272, 466, 867, 277, 188, 868] info --- {'sequence': ['N96', 'N393', 'N332', 'none', 'E132', 'E35', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 42.322509765625 logZ --- 1.0541131496429443
observation --- [64, 222, 676, 758, 345, 862, 868] info --- {'sequence': ['N285', 'N385', 'N383', 'E80', 'E58', 'E18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 38.39170455932617 logZ --- 1.0541131496429443
observation --- [297, 537, 551, 400, 491, 522, 868] info --- {'sequence': ['N713', 'N215', 'N133', 'E63', 'E39', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0188579208566257 loss --- 677.0444946289062 logZ --- 1.0541131496429443
observation --- [2, 653, 199, 592, 805, 423, 868] info --- {'sequence': ['N80', 'N600', 'N482', 'E41', 'E150', 'E86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.27932522725978 loss --- 719.1917724609375 logZ --- 1.058907151222229
observation --- [657, 85, 199, 680, 564, 431, 868] info --- {'sequence': ['N484', 'N218', 'N482', 'E104', 'E204', 'E168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 30.949045181274414 logZ --- 1.058907151222229
observation --- [556, 129, 199, 817, 604, 27, 868] info --- {'sequence': ['N717', 'N52', 'N482', 'E88', 'E4', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 31.190170288085938 logZ --- 1.058907151222229
observation --- [136, 251, 410, 836, 269, 837, 868] info --- {'sequence': ['N519', 'N304', 'N572', 'E128', 'E186', 'E139', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 46.715179443359375 logZ --- 1.058907151222229
observation --- [481, 226, 676, 232, 811, 561, 868] info --- {'sequence': ['N246', 'N267', 'N383', 'E215', 'E90', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 38.60150146484375 logZ --- 1.058907151222229
observation --- [695, 406, 466, 518, 210, 755, 868] info --- {'sequence': ['N196', 'N367', 'N332', 'E232', 'E17', 'E79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.089859704363229 loss --- 711.947998046875 logZ --- 1.0635805130004883
observation --- [424, 552, 466, 694, 286, 671, 868] info --- {'sequence': ['N18', 'N305', 'N332', 'E206', 'E54', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 33.546688079833984 logZ --- 1.0635805130004883
observation --- [295, 810, 268, 716, 275, 827, 868] info --- {'sequence': ['N679', 'N109', 'N391', 'E196', 'E207', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.064249686241018 loss --- 671.9225463867188 logZ --- 1.0635805130004883
