observation --- [81, 9, 332, 867] info --- {'sequence': ['N276', 'N238', 'N399', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.812503814697266 logZ --- 0.9071348309516907
observation --- [734, 454, 705, 867] info --- {'sequence': ['N448', 'N520', 'N539', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.85285186767578 logZ --- 0.9022552371025085
observation --- [541, 244, 640, 867] info --- {'sequence': ['N87', 'N601', 'N460', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.19939422607422 logZ --- 0.9022552371025085
observation --- [289, 659, 830, 867] info --- {'sequence': ['N580', 'N313', 'N282', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.925106048583984 logZ --- 0.9022552371025085
observation --- [760, 85, 307, 867] info --- {'sequence': ['N513', 'N218', 'N688', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.351383209228516 logZ --- 0.9022552371025085
observation --- [15, 645, 139, 867] info --- {'sequence': ['N207', 'N115', 'N44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.36393737792969 logZ --- 0.9022552371025085
observation --- [176, 88, 760, 867] info --- {'sequence': ['N547', 'N168', 'N513', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.6553840637207 logZ --- 0.8973448872566223
observation --- [261, 44, 373, 867] info --- {'sequence': ['N618', 'N719', 'N538', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.14892578125 logZ --- 0.8973448872566223
observation --- [137, 814, 736, 867] info --- {'sequence': ['N387', 'N190', 'N631', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.84705352783203 logZ --- 0.8973448872566223
observation --- [640, 666, 789, 867] info --- {'sequence': ['N460', 'N466', 'N549', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.00612300396437 loss --- 166.61050415039062 logZ --- 0.8973448872566223
observation --- [144, 91, 705, 867] info --- {'sequence': ['N257', 'N307', 'N539', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.55855178833008 logZ --- 0.8973448872566223
observation --- [661, 263, 736, 867] info --- {'sequence': ['N597', 'N76', 'N631', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.27145767211914 logZ --- 0.892642617225647
observation --- [123, 454, 479, 867] info --- {'sequence': ['N90', 'N520', 'N624', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.35359191894531 logZ --- 0.892642617225647
observation --- [381, 449, 145, 867] info --- {'sequence': ['N1', 'N562', 'N263', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.4048080444336 logZ --- 0.892642617225647
observation --- [231, 714, 151, 867] info --- {'sequence': ['N211', 'N697', 'N575', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.03158187866211 logZ --- 0.892642617225647
observation --- [49, 552, 574, 867] info --- {'sequence': ['N498', 'N305', 'N127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.53093338012695 logZ --- 0.892642617225647
observation --- [261, 365, 390, 867] info --- {'sequence': ['N618', 'N184', 'N330', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.779869079589844 logZ --- 0.8878698945045471
observation --- [350, 365, 123, 867] info --- {'sequence': ['N705', 'N184', 'N90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.065155029296875 logZ --- 0.8878698945045471
observation --- [385, 834, 176, 867] info --- {'sequence': ['N454', 'N371', 'N547', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.01356887817383 logZ --- 0.8878698945045471
observation --- [164, 159, 101, 867] info --- {'sequence': ['N292', 'N461', 'N303', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.39128494262695 logZ --- 0.8878698945045471
observation --- [128, 113, 46, 867] info --- {'sequence': ['N317', 'N515', 'N470', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.92076110839844 logZ --- 0.8878698945045471
