observation --- [812, 552, 676, 867] info --- {'sequence': ['N415', 'N305', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.73906707763672 logZ --- 0.9005444049835205
observation --- [154, 552, 268, 867] info --- {'sequence': ['N488', 'N305', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.07051086425781 logZ --- 0.9005444049835205
observation --- [419, 659, 530, 867] info --- {'sequence': ['N225', 'N313', 'N254', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.60371398925781 logZ --- 0.9005444049835205
observation --- [626, 406, 668, 867] info --- {'sequence': ['N216', 'N367', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.9552001953125 logZ --- 0.9005444049835205
observation --- [24, 288, 466, 867] info --- {'sequence': ['N160', 'N700', 'N332', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.34296417236328 logZ --- 0.9005444049835205
observation --- [334, 537, 199, 867] info --- {'sequence': ['N163', 'N215', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.5029525756836 logZ --- 0.8954910039901733
observation --- [769, 653, 206, 867] info --- {'sequence': ['N51', 'N600', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.44693756103516 logZ --- 0.8954910039901733
observation --- [215, 464, 206, 867] info --- {'sequence': ['N176', 'N662', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.7413330078125 logZ --- 0.8954910039901733
observation --- [740, 706, 199, 867] info --- {'sequence': ['N150', 'N50', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.9989242553711 logZ --- 0.8954910039901733
observation --- [854, 91, 206, 867] info --- {'sequence': ['N60', 'N307', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.40142822265625 logZ --- 0.8954910039901733
observation --- [540, 523, 844, 867] info --- {'sequence': ['N695', 'N188', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 101.93279266357422 logZ --- 0.8904309868812561
observation --- [481, 666, 551, 867] info --- {'sequence': ['N246', 'N466', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.69817352294922 logZ --- 0.8904309868812561
observation --- [147, 461, 554, 867] info --- {'sequence': ['N535', 'N359', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.35293579101562 logZ --- 0.8904309868812561
observation --- [93, 386, 551, 867] info --- {'sequence': ['N403', 'N514', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.32247161865234 logZ --- 0.8904309868812561
observation --- [681, 461, 658, 867] info --- {'sequence': ['N353', 'N359', 'N671', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 98.28536224365234 logZ --- 0.8904309868812561
observation --- [356, 372, 551, 867] info --- {'sequence': ['N48', 'N607', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0708484188445249 loss --- 110.83938598632812 logZ --- 0.8853570818901062
observation --- [424, 461, 554, 867] info --- {'sequence': ['N18', 'N359', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.7347412109375 logZ --- 0.8853570818901062
observation --- [55, 617, 844, 867] info --- {'sequence': ['N81', 'N346', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 97.4291000366211 logZ --- 0.8853570818901062
observation --- [191, 699, 206, 867] info --- {'sequence': ['N474', 'N219', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.32716369628906 logZ --- 0.8853570818901062
observation --- [429, 54, 676, 867] info --- {'sequence': ['N63', 'N93', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.18434143066406 logZ --- 0.8853570818901062
observation --- [458, 395, 199, 867] info --- {'sequence': ['N610', 'N708', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 105.51189422607422 logZ --- 0.8804364800453186
observation --- [169, 807, 554, 867] info --- {'sequence': ['N279', 'N99', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.87673950195312 logZ --- 0.8804364800453186
observation --- [219, 562, 410, 867] info --- {'sequence': ['N611', 'N68', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 101.94078063964844 logZ --- 0.8804364800453186
observation --- [93, 666, 554, 867] info --- {'sequence': ['N403', 'N466', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.56462097167969 logZ --- 0.8804364800453186
observation --- [200, 28, 554, 867] info --- {'sequence': ['N621', 'N39', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.20121765136719 logZ --- 0.8804364800453186
