observation --- [597, 191, 532, 568, 836, 868] info --- {'sequence': ['N440', 'N474', 'N208', 'E154', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8168389201164246 logZ --- 1.0783559083938599
observation --- [294, 219, 284, 194, 157, 868] info --- {'sequence': ['N315', 'N611', 'N92', 'E36', 'E5', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1813243654555823 loss --- 460.28887939453125 logZ --- 1.0783559083938599
observation --- [602, 249, 688, 508, 278, 868] info --- {'sequence': ['N19', 'N321', 'N125', 'E155', 'E197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.392970561981201 logZ --- 1.0783559083938599
observation --- [249, 635, 669, 755, 269, 868] info --- {'sequence': ['N321', 'N641', 'N232', 'E79', 'E186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.7300028800964355 logZ --- 1.0783559083938599
observation --- [65, 626, 532, 420, 246, 868] info --- {'sequence': ['N186', 'N216', 'N208', 'E12', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9658799171447754 logZ --- 1.0830610990524292
observation --- [792, 591, 250, 63, 758, 868] info --- {'sequence': ['N277', 'N137', 'N9', 'E76', 'E80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0104182266234312 loss --- 479.91363525390625 logZ --- 1.0830610990524292
observation --- [191, 585, 250, 589, 725, 868] info --- {'sequence': ['N474', 'N20', 'N9', 'E121', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.229391150542586 loss --- 482.0040283203125 logZ --- 1.0830610990524292
observation --- [586, 154, 213, 618, 510, 868] info --- {'sequence': ['N682', 'N488', 'N479', 'E118', 'E190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.903955936431885 logZ --- 1.0830610990524292
observation --- [481, 704, 417, 17, 33, 868] info --- {'sequence': ['N246', 'N485', 'N86', 'E219', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.677702903747559 logZ --- 1.0830610990524292
observation --- [626, 586, 343, 423, 430, 868] info --- {'sequence': ['N216', 'N682', 'N421', 'E86', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.088134288787842 logZ --- 1.0876508951187134
observation --- [482, 591, 149, 110, 832, 868] info --- {'sequence': ['N499', 'N137', 'N574', 'E202', 'E149', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.5862202644348145 logZ --- 1.0876508951187134
observation --- [84, 2, 264, 673, 671, 868] info --- {'sequence': ['N410', 'N80', 'N554', 'E16', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4330634133066777 loss --- 515.8118286132812 logZ --- 1.0876508951187134
observation --- [21, 219, 473, 832, 599, 868] info --- {'sequence': ['N411', 'N611', 'N343', 'E149', 'E174', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.325466632843018 logZ --- 1.0876508951187134
observation --- [219, 297, 627, 467, 299, 868] info --- {'sequence': ['N611', 'N713', 'N198', 'E10', 'E225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.37949146450469 loss --- 502.21466064453125 logZ --- 1.0876508951187134
observation --- [334, 740, 820, 491, 194, 868] info --- {'sequence': ['N163', 'N150', 'N457', 'E39', 'E36', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.51681619155345 loss --- 470.6687927246094 logZ --- 1.09215247631073
observation --- [67, 585, 660, 725, 799, 868] info --- {'sequence': ['N157', 'N20', 'N553', 'E179', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2504479388250178 loss --- 488.7125549316406 logZ --- 1.09215247631073
observation --- [356, 519, 417, 615, 277, 868] info --- {'sequence': ['N48', 'N456', 'N86', 'E141', 'E132', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.340403820670492 loss --- 492.3388977050781 logZ --- 1.09215247631073
observation --- [575, 19, 343, 547, 867, 868] info --- {'sequence': ['N571', 'N639', 'N421', 'E125', 'none', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.619679927825928 logZ --- 1.09215247631073
observation --- [316, 626, 614, 405, 862, 868] info --- {'sequence': ['N110', 'N216', 'N328', 'E119', 'E18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.9304890632629395 logZ --- 1.09215247631073
observation --- [575, 602, 773, 157, 827, 868] info --- {'sequence': ['N571', 'N19', 'N102', 'E5', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3156682516705587 loss --- 492.87103271484375 logZ --- 1.0966732501983643
observation --- [602, 191, 343, 643, 837, 868] info --- {'sequence': ['N19', 'N474', 'N421', 'E107', 'E139', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.1808056831359863 logZ --- 1.0966732501983643
observation --- [635, 65, 473, 175, 561, 868] info --- {'sequence': ['N641', 'N186', 'N343', 'E184', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0285116509869565 loss --- 465.3985290527344 logZ --- 1.0966732501983643
observation --- [154, 419, 343, 751, 175, 868] info --- {'sequence': ['N488', 'N225', 'N421', 'E50', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.9679980278015137 logZ --- 1.0966732501983643
observation --- [591, 21, 303, 520, 631, 868] info --- {'sequence': ['N137', 'N411', 'N354', 'E113', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0925526768661797 loss --- 476.7493591308594 logZ --- 1.0966732501983643
observation --- [294, 597, 786, 534, 709, 868] info --- {'sequence': ['N315', 'N440', 'N422', 'E126', 'E1', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.248793870403995 loss --- 487.4477233886719 logZ --- 1.1012048721313477
