observation --- [601, 382, 219, 662, 783, 868] info --- {'sequence': ['N128', 'N191', 'N611', 'E13', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.195086479187012 logZ --- 1.0605049133300781
observation --- [171, 780, 778, 168, 827, 868] info --- {'sequence': ['N100', 'N368', 'N687', 'E159', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1181483723004224 loss --- 486.8946228027344 logZ --- 1.0605049133300781
observation --- [478, 344, 570, 27, 624, 868] info --- {'sequence': ['N4', 'N389', 'N516', 'E73', 'E199', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.6900999546051025 logZ --- 1.0605049133300781
observation --- [376, 845, 295, 79, 664, 868] info --- {'sequence': ['N201', 'N544', 'N679', 'E223', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3212576464291415 loss --- 535.7553100585938 logZ --- 1.0648852586746216
observation --- [105, 573, 19, 612, 269, 868] info --- {'sequence': ['N417', 'N67', 'N639', 'E157', 'E186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.939505577087402 logZ --- 1.0648852586746216
observation --- [541, 291, 489, 378, 583, 868] info --- {'sequence': ['N87', 'N64', 'N429', 'E29', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.860307216644287 logZ --- 1.0648852586746216
observation --- [105, 445, 635, 758, 612, 868] info --- {'sequence': ['N417', 'N350', 'N641', 'E80', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0189711667240497 loss --- 497.602294921875 logZ --- 1.0648852586746216
observation --- [661, 749, 704, 547, 275, 868] info --- {'sequence': ['N597', 'N241', 'N485', 'E125', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.621259689331055 logZ --- 1.0648852586746216
observation --- [576, 713, 570, 245, 280, 868] info --- {'sequence': ['N455', 'N632', 'N516', 'E230', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.568133354187012 logZ --- 1.069229245185852
observation --- [114, 675, 795, 819, 822, 868] info --- {'sequence': ['N355', 'N642', 'N408', 'E137', 'E48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.004153231770137 loss --- 522.61181640625 logZ --- 1.069229245185852
observation --- [705, 291, 512, 161, 167, 868] info --- {'sequence': ['N539', 'N64', 'N96', 'E85', 'E193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0684983745652603 loss --- 516.12548828125 logZ --- 1.069229245185852
observation --- [151, 797, 89, 430, 631, 868] info --- {'sequence': ['N575', 'N249', 'N473', 'E111', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1890401959274841 loss --- 553.4248657226562 logZ --- 1.069229245185852
observation --- [81, 344, 489, 467, 817, 868] info --- {'sequence': ['N276', 'N389', 'N429', 'E10', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3163625622411212 loss --- 488.877685546875 logZ --- 1.069229245185852
observation --- [228, 291, 826, 583, 832, 868] info --- {'sequence': ['N200', 'N64', 'N606', 'E103', 'E149', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.858684539794922 logZ --- 1.0737234354019165
observation --- [326, 320, 686, 671, 480, 868] info --- {'sequence': ['N710', 'N636', 'N126', 'E97', 'E176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1871038312256497 loss --- 509.8677673339844 logZ --- 1.0737234354019165
observation --- [455, 684, 556, 579, 73, 868] info --- {'sequence': ['N564', 'N655', 'N717', 'E173', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.377058029174805 logZ --- 1.0737234354019165
observation --- [97, 80, 626, 846, 462, 868] info --- {'sequence': ['N112', 'N672', 'N216', 'E32', 'E31', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.126024669201055 loss --- 513.1240844726562 logZ --- 1.0737234354019165
observation --- [105, 71, 769, 408, 662, 868] info --- {'sequence': ['N417', 'N262', 'N51', 'E152', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.299724578857422 logZ --- 1.0737234354019165
observation --- [228, 218, 826, 693, 528, 868] info --- {'sequence': ['N200', 'N120', 'N606', 'E95', 'E26', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1384099821840015 loss --- 558.094482421875 logZ --- 1.07816481590271
observation --- [848, 538, 854, 70, 126, 868] info --- {'sequence': ['N581', 'N578', 'N60', 'E92', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.328521728515625 logZ --- 1.07816481590271
observation --- [736, 198, 215, 615, 431, 868] info --- {'sequence': ['N631', 'N199', 'N176', 'E141', 'E168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.828901767730713 logZ --- 1.07816481590271
observation --- [306, 197, 585, 833, 157, 868] info --- {'sequence': ['N614', 'N647', 'N20', 'E89', 'E5', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1239159170948168 loss --- 531.5531616210938 logZ --- 1.07816481590271
observation --- [247, 96, 458, 457, 567, 868] info --- {'sequence': ['N524', 'N582', 'N610', 'E130', 'E3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.237650956073791 loss --- 508.1688537597656 logZ --- 1.07816481590271
observation --- [164, 51, 854, 496, 345, 868] info --- {'sequence': ['N292', 'N124', 'N60', 'E65', 'E58', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.854667663574219 logZ --- 1.0826624631881714
observation --- [640, 800, 89, 262, 694, 868] info --- {'sequence': ['N460', 'N169', 'N473', 'E228', 'E206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.77405071258545 logZ --- 1.0826624631881714
observation --- [146, 831, 861, 201, 193, 868] info --- {'sequence': ['N503', 'N412', 'N558', 'E19', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.167805944590588 loss --- 518.981201171875 logZ --- 1.0826624631881714
observation --- [176, 20, 854, 285, 803, 868] info --- {'sequence': ['N547', 'N228', 'N60', 'E57', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0505154143543736 loss --- 505.1963806152344 logZ --- 1.0826624631881714
observation --- [665, 742, 334, 243, 126, 868] info --- {'sequence': ['N342', 'N132', 'N163', 'E15', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0923300095136108 loss --- 530.5621948242188 logZ --- 1.0826624631881714
observation --- [202, 236, 489, 157, 725, 868] info --- {'sequence': ['N376', 'N370', 'N429', 'E5', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0943657033599001 loss --- 494.5392761230469 logZ --- 1.0872102975845337
observation --- [574, 684, 89, 709, 836, 868] info --- {'sequence': ['N127', 'N655', 'N473', 'E1', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2625661103809125 loss --- 500.4165954589844 logZ --- 1.0872102975845337
observation --- [145, 382, 438, 584, 639, 868] info --- {'sequence': ['N263', 'N191', 'N130', 'E182', 'E6', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.067805041200205 loss --- 480.73486328125 logZ --- 1.0872102975845337
observation --- [856, 742, 191, 480, 647, 868] info --- {'sequence': ['N603', 'N132', 'N474', 'E176', 'E52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.157784461975098 logZ --- 1.0872102975845337
observation --- [734, 160, 356, 779, 568, 868] info --- {'sequence': ['N448', 'N427', 'N48', 'E51', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0778079138549337 loss --- 516.326904296875 logZ --- 1.0872102975845337
observation --- [31, 236, 861, 87, 788, 868] info --- {'sequence': ['N616', 'N370', 'N558', 'E71', 'E167', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.761961936950684 logZ --- 1.0918735265731812
observation --- [234, 397, 795, 819, 836, 868] info --- {'sequence': ['N153', 'N209', 'N408', 'E137', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.859380722045898 logZ --- 1.0918735265731812
observation --- [306, 450, 249, 354, 175, 868] info --- {'sequence': ['N614', 'N635', 'N321', 'E148', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.810056686401367 logZ --- 1.0918735265731812
observation --- [141, 798, 424, 494, 277, 868] info --- {'sequence': ['N13', 'N362', 'N18', 'E165', 'E132', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.032702445983887 logZ --- 1.0918735265731812
observation --- [697, 675, 89, 262, 663, 868] info --- {'sequence': ['N623', 'N642', 'N473', 'E228', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0046196870950854 loss --- 515.4141235351562 logZ --- 1.0918735265731812
observation --- [760, 514, 853, 193, 440, 868] info --- {'sequence': ['N513', 'N35', 'N298', 'E77', 'E30', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.370046212344 loss --- 520.396484375 logZ --- 1.096351981163025
