observation --- [712, 455, 415, 813, 436, 868] info --- {'sequence': ['N665', 'N564', 'N386', 'E203', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5532597417916825 loss --- 527.9631958007812 logZ --- 1.0448306798934937
observation --- [376, 478, 136, 633, 564, 868] info --- {'sequence': ['N201', 'N4', 'N519', 'E198', 'E204', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2357909775591274 loss --- 552.1136474609375 logZ --- 1.0448306798934937
observation --- [146, 141, 489, 819, 170, 868] info --- {'sequence': ['N503', 'N13', 'N429', 'E137', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2510343681337195 loss --- 530.7494506835938 logZ --- 1.0448306798934937
observation --- [230, 105, 136, 126, 430, 868] info --- {'sequence': ['N654', 'N417', 'N519', 'E112', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3700095479069703 loss --- 568.8836669921875 logZ --- 1.0448306798934937
observation --- [186, 732, 84, 506, 803, 868] info --- {'sequence': ['N561', 'N390', 'N410', 'E127', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2749773092918468 loss --- 579.66455078125 logZ --- 1.0498642921447754
observation --- [361, 30, 575, 116, 73, 868] info --- {'sequence': ['N424', 'N29', 'N571', 'E163', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.13028958213867 loss --- 527.6527709960938 logZ --- 1.0498642921447754
observation --- [754, 580, 853, 168, 631, 868] info --- {'sequence': ['N194', 'N223', 'N298', 'E159', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1671297345008151 loss --- 533.8076171875 logZ --- 1.0498642921447754
observation --- [46, 478, 444, 467, 654, 868] info --- {'sequence': ['N470', 'N4', 'N10', 'E10', 'E145', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.41906135631201 loss --- 565.4132080078125 logZ --- 1.0498642921447754
observation --- [247, 326, 64, 680, 663, 868] info --- {'sequence': ['N524', 'N710', 'N285', 'E104', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0464317521647313 loss --- 579.8173828125 logZ --- 1.0498642921447754
observation --- [144, 729, 356, 484, 808, 868] info --- {'sequence': ['N257', 'N12', 'N48', 'E109', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2444233878744386 loss --- 565.353271484375 logZ --- 1.0549414157867432
observation --- [732, 455, 586, 260, 811, 868] info --- {'sequence': ['N390', 'N564', 'N682', 'E83', 'E90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.008442511405426 loss --- 513.2820434570312 logZ --- 1.0549414157867432
observation --- [733, 101, 21, 13, 170, 868] info --- {'sequence': ['N445', 'N303', 'N411', 'E222', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0599604213638678 loss --- 562.954833984375 logZ --- 1.0549414157867432
observation --- [307, 41, 681, 280, 618, 868] info --- {'sequence': ['N688', 'N551', 'N353', 'E72', 'E118', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.608630180358887 logZ --- 1.0549414157867432
observation --- [231, 31, 485, 687, 719, 868] info --- {'sequence': ['N211', 'N616', 'N79', 'E120', 'E49', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1757045655932232 loss --- 548.0834350585938 logZ --- 1.0549414157867432
observation --- [642, 760, 540, 694, 796, 868] info --- {'sequence': ['N27', 'N513', 'N695', 'E206', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.932065010070801 logZ --- 1.0600017309188843
observation --- [376, 361, 415, 615, 589, 868] info --- {'sequence': ['N201', 'N424', 'N386', 'E141', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.7148432426321076 loss --- 535.3983154296875 logZ --- 1.0600017309188843
observation --- [757, 455, 586, 378, 547, 868] info --- {'sequence': ['N464', 'N564', 'N682', 'E29', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.986007213592529 logZ --- 1.0600017309188843
observation --- [373, 712, 84, 759, 335, 868] info --- {'sequence': ['N538', 'N665', 'N410', 'E38', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4504536413930755 loss --- 548.966552734375 logZ --- 1.0600017309188843
observation --- [478, 202, 64, 5, 402, 868] info --- {'sequence': ['N4', 'N376', 'N285', 'E56', 'E61', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0691126889889238 loss --- 560.423828125 logZ --- 1.0600017309188843
