observation --- [287, 222, 674, 647, 654, 118, 868] info --- {'sequence': ['N425', 'N385', 'N32', 'E52', 'E145', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 87.376220703125 logZ --- 1.06367027759552
observation --- [68, 146, 834, 837, 223, 14, 868] info --- {'sequence': ['N180', 'N503', 'N371', 'E139', 'E84', 'E171', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 92.65145874023438 logZ --- 1.06367027759552
observation --- [571, 186, 806, 183, 751, 460, 868] info --- {'sequence': ['N290', 'N561', 'N156', 'E151', 'E50', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 87.77900695800781 logZ --- 1.06367027759552
observation --- [637, 830, 617, 33, 167, 817, 868] info --- {'sequence': ['N59', 'N282', 'N346', 'E162', 'E193', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 77.67461395263672 logZ --- 1.068344235420227
observation --- [241, 101, 756, 17, 73, 716, 868] info --- {'sequence': ['N702', 'N303', 'N627', 'E219', 'E94', 'E196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 71.43388366699219 logZ --- 1.068344235420227
observation --- [549, 228, 372, 366, 667, 673, 868] info --- {'sequence': ['N602', 'N200', 'N607', 'E170', 'E134', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1925748738332946 loss --- 838.9412841796875 logZ --- 1.068344235420227
observation --- [492, 580, 365, 305, 862, 87, 868] info --- {'sequence': ['N248', 'N223', 'N184', 'E7', 'E18', 'E71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 90.15877532958984 logZ --- 1.068344235420227
observation --- [703, 202, 569, 319, 867, 378, 868] info --- {'sequence': ['N570', 'N376', 'N434', 'E44', 'none', 'E29', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 68.30451202392578 logZ --- 1.068344235420227
observation --- [651, 712, 129, 750, 216, 636, 868] info --- {'sequence': ['N283', 'N665', 'N52', 'E64', 'E74', 'E82', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 77.60009765625 logZ --- 1.072981357574463
observation --- [61, 137, 317, 547, 474, 667, 868] info --- {'sequence': ['N222', 'N387', 'N2', 'E125', 'E70', 'E134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 84.90079498291016 logZ --- 1.072981357574463
observation --- [140, 314, 537, 842, 579, 748, 868] info --- {'sequence': ['N590', 'N365', 'N215', 'E68', 'E173', 'E22', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 90.37960052490234 logZ --- 1.072981357574463
observation --- [565, 179, 699, 405, 764, 751, 868] info --- {'sequence': ['N494', 'N161', 'N219', 'E119', 'E69', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 90.95274353027344 logZ --- 1.072981357574463
observation --- [655, 289, 766, 299, 755, 436, 868] info --- {'sequence': ['N690', 'N580', 'N310', 'E225', 'E79', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 87.58512115478516 logZ --- 1.072981357574463
