observation --- [795, 489, 816, 867] info --- {'sequence': ['N408', 'N429', 'N536', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.53857421875 logZ --- 0.9436547756195068
observation --- [635, 89, 660, 867] info --- {'sequence': ['N641', 'N473', 'N553', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0200718605800314 loss --- 128.60987854003906 logZ --- 0.9392188787460327
observation --- [795, 67, 688, 867] info --- {'sequence': ['N408', 'N157', 'N125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0227857172757153 loss --- 117.72209167480469 logZ --- 0.9392188787460327
observation --- [153, 59, 688, 867] info --- {'sequence': ['N117', 'N23', 'N125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.81800079345703 logZ --- 0.9392188787460327
observation --- [215, 512, 343, 867] info --- {'sequence': ['N176', 'N96', 'N421', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.4520034790039 logZ --- 0.9392188787460327
observation --- [861, 737, 526, 867] info --- {'sequence': ['N558', 'N333', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.53720092773438 logZ --- 0.9392188787460327
observation --- [357, 419, 310, 867] info --- {'sequence': ['N495', 'N225', 'N508', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.08880615234375 logZ --- 0.9351196885108948
observation --- [843, 575, 377, 867] info --- {'sequence': ['N320', 'N571', 'N667', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.01113891601562 logZ --- 0.9351196885108948
observation --- [586, 249, 820, 867] info --- {'sequence': ['N682', 'N321', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.96043395996094 logZ --- 0.9351196885108948
observation --- [295, 635, 43, 867] info --- {'sequence': ['N679', 'N641', 'N645', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.65647888183594 logZ --- 0.9351196885108948
observation --- [444, 266, 660, 867] info --- {'sequence': ['N10', 'N25', 'N553', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0085024000005869 loss --- 131.45010375976562 logZ --- 0.9351196885108948
observation --- [575, 422, 627, 867] info --- {'sequence': ['N571', 'N579', 'N198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.545166015625 logZ --- 0.9310178756713867
observation --- [294, 512, 473, 867] info --- {'sequence': ['N315', 'N96', 'N343', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.86722564697266 logZ --- 0.9310178756713867
observation --- [19, 704, 546, 867] info --- {'sequence': ['N639', 'N485', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.21871185302734 logZ --- 0.9310178756713867
observation --- [67, 64, 526, 867] info --- {'sequence': ['N157', 'N285', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.13763427734375 logZ --- 0.9310178756713867
observation --- [136, 294, 546, 867] info --- {'sequence': ['N519', 'N315', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.7701644897461 logZ --- 0.9310178756713867
observation --- [444, 357, 303, 867] info --- {'sequence': ['N10', 'N495', 'N354', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.41016387939453 logZ --- 0.9266967177391052
observation --- [19, 444, 284, 867] info --- {'sequence': ['N639', 'N10', 'N92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.6902084350586 logZ --- 0.9266967177391052
observation --- [55, 686, 343, 867] info --- {'sequence': ['N81', 'N126', 'N421', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.71820068359375 logZ --- 0.9266967177391052
observation --- [586, 626, 688, 867] info --- {'sequence': ['N682', 'N216', 'N125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.0195541381836 logZ --- 0.9266967177391052
observation --- [297, 39, 627, 867] info --- {'sequence': ['N713', 'N416', 'N198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1008921057710037 loss --- 135.65992736816406 logZ --- 0.9266967177391052
observation --- [512, 740, 149, 867] info --- {'sequence': ['N96', 'N150', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.26964569091797 logZ --- 0.9223855137825012
observation --- [55, 626, 348, 867] info --- {'sequence': ['N81', 'N216', 'N268', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.73170471191406 logZ --- 0.9223855137825012
observation --- [438, 422, 213, 867] info --- {'sequence': ['N130', 'N579', 'N479', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.12230682373047 logZ --- 0.9223855137825012
