observation --- [760, 119, 556, 867] info --- {'sequence': ['N513', 'N229', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.61347579956055 logZ --- 0.892239511013031
observation --- [46, 48, 570, 867] info --- {'sequence': ['N470', 'N281', 'N516', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.0889892578125 logZ --- 0.8872173428535461
observation --- [690, 309, 89, 867] info --- {'sequence': ['N62', 'N374', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.60791778564453 logZ --- 0.8872173428535461
observation --- [247, 38, 602, 867] info --- {'sequence': ['N524', 'N586', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.70323944091797 logZ --- 0.8872173428535461
observation --- [566, 801, 334, 867] info --- {'sequence': ['N17', 'N337', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.38671875 logZ --- 0.8872173428535461
observation --- [151, 309, 657, 867] info --- {'sequence': ['N575', 'N374', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.60381317138672 logZ --- 0.8872173428535461
observation --- [123, 722, 65, 867] info --- {'sequence': ['N90', 'N430', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.42383575439453 logZ --- 0.8821689486503601
observation --- [757, 209, 792, 867] info --- {'sequence': ['N464', 'N588', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.776954650878906 logZ --- 0.8821689486503601
observation --- [211, 845, 792, 867] info --- {'sequence': ['N500', 'N544', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.035736083984375 logZ --- 0.8821689486503601
observation --- [231, 53, 795, 867] info --- {'sequence': ['N211', 'N617', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.55531692504883 logZ --- 0.8821689486503601
observation --- [705, 503, 89, 867] info --- {'sequence': ['N539', 'N171', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.08907699584961 logZ --- 0.8821689486503601
