observation --- [39, 127, 617, 477, 677, 868] info --- {'sequence': ['N416', 'N286', 'N346', 'E169', 'E189', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.4283976554870605 logZ --- 1.0448931455612183
observation --- [77, 347, 699, 847, 520, 868] info --- {'sequence': ['N477', 'N447', 'N219', 'E221', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2341091734082548 loss --- 510.7712097167969 logZ --- 1.0448931455612183
observation --- [321, 264, 370, 662, 14, 868] info --- {'sequence': ['N231', 'N554', 'N256', 'E13', 'E171', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.9282665252685547 logZ --- 1.0448931455612183
observation --- [294, 348, 841, 671, 465, 868] info --- {'sequence': ['N315', 'N268', 'N73', 'E97', 'E45', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0126607572620347 loss --- 471.7998962402344 logZ --- 1.0448931455612183
observation --- [681, 250, 562, 805, 275, 868] info --- {'sequence': ['N353', 'N9', 'N68', 'E150', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5394439101219177 logZ --- 1.0448931455612183
observation --- [67, 417, 44, 671, 210, 868] info --- {'sequence': ['N157', 'N86', 'N719', 'E97', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3125234617055954 loss --- 464.2769470214844 logZ --- 1.0496826171875
observation --- [294, 743, 523, 305, 170, 868] info --- {'sequence': ['N315', 'N400', 'N188', 'E7', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.771859645843506 logZ --- 1.0496826171875
observation --- [854, 284, 102, 833, 120, 868] info --- {'sequence': ['N60', 'N92', 'N395', 'E89', 'E191', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.5577189922332764 logZ --- 1.0496826171875
observation --- [321, 348, 272, 120, 672, 868] info --- {'sequence': ['N231', 'N268', 'N393', 'E191', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.213451862335205 logZ --- 1.0496826171875
observation --- [686, 773, 464, 79, 832, 868] info --- {'sequence': ['N126', 'N102', 'N662', 'E223', 'E149', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.456102923311397 loss --- 452.84857177734375 logZ --- 1.0496826171875
observation --- [21, 786, 449, 582, 63, 868] info --- {'sequence': ['N411', 'N422', 'N562', 'E178', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9463050961494446 logZ --- 1.054389476776123
observation --- [64, 743, 129, 680, 420, 868] info --- {'sequence': ['N285', 'N400', 'N52', 'E104', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.0366129875183105 logZ --- 1.054389476776123
observation --- [481, 213, 825, 436, 403, 868] info --- {'sequence': ['N246', 'N479', 'N237', 'E208', 'E116', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.2064619064331055 logZ --- 1.054389476776123
observation --- [434, 343, 558, 319, 646, 868] info --- {'sequence': ['N377', 'N421', 'N3', 'E44', 'E106', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1593613624572754 logZ --- 1.054389476776123
