observation --- [155, 178, 147, 836, 285, 868] info --- {'sequence': ['N167', 'N444', 'N535', 'E128', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.30940303206443787 logZ --- 1.0128268003463745
observation --- [451, 178, 434, 649, 494, 868] info --- {'sequence': ['N36', 'N444', 'N377', 'E101', 'E165', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.7164337635040283 logZ --- 1.0141255855560303
observation --- [427, 143, 575, 189, 836, 868] info --- {'sequence': ['N182', 'N650', 'N571', 'E66', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.015179987996816635 logZ --- 1.0141255855560303
observation --- [351, 178, 419, 634, 726, 868] info --- {'sequence': ['N529', 'N444', 'N225', 'E172', 'E234', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.04070298373699188 logZ --- 1.0141255855560303
observation --- [349, 178, 2, 402, 612, 868] info --- {'sequence': ['N144', 'N444', 'N80', 'E61', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0005038941162638366 logZ --- 1.0141255855560303
observation --- [69, 143, 294, 112, 583, 868] info --- {'sequence': ['N382', 'N650', 'N315', 'E37', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.14452405273914337 logZ --- 1.0141255855560303
observation --- [367, 143, 792, 633, 827, 868] info --- {'sequence': ['N143', 'N650', 'N277', 'E198', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9719140529632568 logZ --- 1.0152075290679932
observation --- [281, 143, 266, 285, 408, 868] info --- {'sequence': ['N476', 'N650', 'N25', 'E57', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.024098588153719902 logZ --- 1.0152075290679932
observation --- [770, 143, 657, 672, 63, 868] info --- {'sequence': ['N152', 'N650', 'N484', 'E201', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.3317982256412506 logZ --- 1.0152075290679932
observation --- [511, 178, 812, 403, 431, 868] info --- {'sequence': ['N314', 'N444', 'N415', 'E116', 'E168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.061380673199892044 logZ --- 1.0152075290679932
observation --- [802, 143, 556, 561, 624, 868] info --- {'sequence': ['N576', 'N650', 'N717', 'E216', 'E199', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.08129994571208954 logZ --- 1.0152075290679932
observation --- [860, 143, 122, 470, 99, 868] info --- {'sequence': ['N612', 'N650', 'N245', 'E205', 'E21', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.07342751324176788 logZ --- 1.0160561800003052
observation --- [590, 178, 570, 803, 183, 868] info --- {'sequence': ['N41', 'N444', 'N516', 'E91', 'E151', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.460480272769928 logZ --- 1.0160561800003052
observation --- [254, 178, 795, 719, 846, 868] info --- {'sequence': ['N567', 'N444', 'N408', 'E49', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5100285410881042 logZ --- 1.0160561800003052
observation --- [104, 143, 681, 299, 662, 868] info --- {'sequence': ['N54', 'N650', 'N353', 'E225', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.7341717481613159 logZ --- 1.0160561800003052
observation --- [379, 178, 570, 116, 293, 868] info --- {'sequence': ['N162', 'N444', 'N516', 'E163', 'E9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.289298415184021 logZ --- 1.0160561800003052
observation --- [7, 178, 200, 636, 592, 868] info --- {'sequence': ['N265', 'N444', 'N621', 'E82', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.431788831949234 logZ --- 1.01668119430542
observation --- [475, 143, 812, 262, 774, 868] info --- {'sequence': ['N406', 'N650', 'N415', 'E228', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.14083822071552277 logZ --- 1.01668119430542
observation --- [304, 143, 586, 529, 846, 868] info --- {'sequence': ['N205', 'N650', 'N682', 'E129', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.01016401220113039 logZ --- 1.01668119430542
observation --- [106, 178, 424, 750, 682, 868] info --- {'sequence': ['N311', 'N444', 'N18', 'E64', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.32908785343170166 logZ --- 1.01668119430542
observation --- [859, 143, 2, 751, 548, 868] info --- {'sequence': ['N540', 'N650', 'N80', 'E50', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.14300678670406342 logZ --- 1.01668119430542
observation --- [254, 178, 136, 725, 142, 868] info --- {'sequence': ['N567', 'N444', 'N519', 'E179', 'E210', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.035035476088523865 logZ --- 1.0171719789505005
observation --- [426, 178, 540, 170, 210, 868] info --- {'sequence': ['N504', 'N444', 'N695', 'E212', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.023964349180459976 logZ --- 1.0171719789505005
observation --- [571, 143, 77, 604, 331, 868] info --- {'sequence': ['N290', 'N650', 'N477', 'E4', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.006128575187176466 logZ --- 1.0171719789505005
observation --- [140, 178, 778, 592, 109, 868] info --- {'sequence': ['N590', 'N444', 'N687', 'E41', 'E40', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0930507401118679 loss --- 379.5479736328125 logZ --- 1.0171719789505005
observation --- [377, 143, 570, 280, 11, 868] info --- {'sequence': ['N667', 'N650', 'N516', 'E72', 'E25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.08029910922050476 logZ --- 1.0171719789505005
observation --- [16, 143, 136, 63, 319, 868] info --- {'sequence': ['N309', 'N650', 'N519', 'E76', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8198308348655701 logZ --- 1.018559455871582
observation --- [623, 143, 540, 654, 470, 868] info --- {'sequence': ['N595', 'N650', 'N695', 'E145', 'E205', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0004930776776745915 logZ --- 1.018559455871582
observation --- [302, 178, 200, 796, 491, 868] info --- {'sequence': ['N146', 'N444', 'N621', 'E59', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0877772426636099 loss --- 417.1523742675781 logZ --- 1.018559455871582
observation --- [581, 143, 419, 654, 783, 868] info --- {'sequence': ['N123', 'N650', 'N225', 'E145', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.18310683965682983 logZ --- 1.018559455871582
observation --- [828, 143, 812, 42, 420, 868] info --- {'sequence': ['N264', 'N650', 'N415', 'E160', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1162878274917603 logZ --- 1.018559455871582
observation --- [300, 178, 657, 750, 622, 868] info --- {'sequence': ['N593', 'N444', 'N484', 'E64', 'E147', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0703821483767233 loss --- 362.3468933105469 logZ --- 1.0206153392791748
observation --- [859, 143, 695, 120, 796, 868] info --- {'sequence': ['N540', 'N650', 'N196', 'E191', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.012521256692707539 logZ --- 1.0206153392791748
