observation --- [588, 476, 681, 867] info --- {'sequence': ['N271', 'N585', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.07755279541016 logZ --- 0.9014217257499695
observation --- [288, 476, 792, 867] info --- {'sequence': ['N700', 'N585', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.10935974121094 logZ --- 0.9014217257499695
observation --- [102, 476, 334, 867] info --- {'sequence': ['N395', 'N585', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.9400863647461 logZ --- 0.9014217257499695
observation --- [433, 374, 512, 867] info --- {'sequence': ['N649', 'N142', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.97256469726562 logZ --- 0.9014217257499695
observation --- [372, 25, 591, 867] info --- {'sequence': ['N607', 'N677', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.8239974975586 logZ --- 0.8965321183204651
observation --- [598, 374, 89, 867] info --- {'sequence': ['N312', 'N142', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.68423461914062 logZ --- 0.8965321183204651
observation --- [699, 374, 215, 867] info --- {'sequence': ['N219', 'N142', 'N176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.53759002685547 logZ --- 0.8965321183204651
observation --- [562, 383, 512, 867] info --- {'sequence': ['N68', 'N103', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.64521026611328 logZ --- 0.8965321183204651
observation --- [569, 25, 458, 867] info --- {'sequence': ['N434', 'N677', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.55731201171875 logZ --- 0.8965321183204651
observation --- [50, 476, 357, 867] info --- {'sequence': ['N435', 'N585', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 116.13555908203125 logZ --- 0.8916192054748535
observation --- [28, 374, 485, 867] info --- {'sequence': ['N39', 'N142', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.91275787353516 logZ --- 0.8916192054748535
observation --- [552, 383, 419, 867] info --- {'sequence': ['N305', 'N103', 'N225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.33613586425781 logZ --- 0.8916192054748535
observation --- [372, 383, 154, 867] info --- {'sequence': ['N607', 'N103', 'N488', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.81513977050781 logZ --- 0.8916192054748535
observation --- [666, 374, 153, 867] info --- {'sequence': ['N466', 'N142', 'N117', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.53309631347656 logZ --- 0.8916192054748535
observation --- [834, 476, 295, 867] info --- {'sequence': ['N371', 'N585', 'N679', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.14805603027344 logZ --- 0.8866870999336243
